South America	Argentina	Badoo	8
Asia	Australia	Tinder	10
Europe	Austria	Lovoo	10
Europe	Belgium	Tinder	9
South America	Brazil	Badoo	11
Europe	Bulgaria	Badoo	13
North America	Canada	Tinder	10
South America	Chile	Badoo	7
Asia	China	Momo	14
South America	Colombia	Badoo	13
Europe	Czech Republic	Badoo	9
Europe	Denmark	Tinder	8
Middle East	Egypt	Frim	29
Europe	Finland	Tinder	7
Europe	France	Tinder	11
Europe	Germany	Lovoo	10
Europe	Greece	Tinder	19
Europe	Hungary	Badoo	9
Asia	India	Tinder	44
Asia	Indonesia	Badoo	18
Europe	Ireland	Tinder	11
Middle East	Israel	Tinder	20
Europe	Italy	Badoo	14
Asia	Japan	YYC	30
Africa	Kenya	Badoo	
Middle East	Kuwait	Badoo	28
Asia	Malaysia	Badoo	29
North America	Mexico	Badoo	11
Europe	Netherlands	Tinder	10
Asia	New Zealand	Tinder	9
Africa	Nigeria	Badoo	
Europe	Norway	Tinder	9
Asia	Philippines	Tinder	22
Europe	Poland	Badoo	11
Europe	Portugal	Badoo	11
Europe	Romania	Badoo	14
Europe	Russia	Frim	7
Middle East	Saudi Arabia	WhosHere	37
Asia	Singapore	Tinder	19
Africa	South Africa	Badoo	15
Asia	South Korea	Heartbeep	54
Europe	Spain	Badoo	13
Europe	Sweden	Tinder	10
Europe	Switzerland	Lovoo	8
Asia	Taiwan	iPair Meet Your Match	18
Asia	Thailand	Badoo	14
Middle East	Turkey	Badoo	14
Europe	Ukraine	Badoo	23
Middle East	UAE	Badoo	18
Europe	UK	Tinder	13
North America	USA	Tinder	15
Asia	Vietnam	Paktor	29